"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P63261" 4.80829568197244 2.61637983050475 17.7885615866364 1.59298681493075e-22 3.09835935504031e-20 39.7753222786812
"P60709" 4.80829568197244 2.61637983050475 17.7885615866364 1.59298681493075e-22 3.09835935504031e-20 39.7753222786812
"P13645" 5.40700664337608 3.13597377247352 16.4798125223781 3.56588800819332e-21 4.62376811729068e-19 36.9814784621909
"P02768" 6.10254675780534 3.38571285078241 15.1441655614921 1.02517488906763e-19 9.96982579618267e-18 33.9185811131752
"KRT1" 5.79806332397319 3.40895010581031 14.9991891380099 1.49391025749914e-19 1.16226218033433e-17 33.5725800483805
"KRT9" 5.12882780009692 2.91951637462526 14.2319818789371 1.14124837138826e-18 7.39909360783388e-17 31.6956900268814
"TLN1" 5.39950888819631 2.87545084798534 12.9803702769997 3.66564759269462e-17 2.03705273365458e-15 28.4627407343682
"P68366" 3.62605518393484 1.95366699123422 8.38968552634076 6.65541266504122e-11 3.23619440837629e-09 14.7342002677518
"KRT2" 5.28530952114875 3.01917522849957 7.84077267152682 4.37258190215561e-10 1.88992706659837e-08 12.9184310784503
"KRT14" 4.34923286614137 2.59721950884683 7.75597209293936 5.86061899088065e-10 2.27978078745257e-08 12.6356944713041
"FLNA" 4.37294573268204 1.94622889739667 7.36781279977386 2.25277708719215e-09 7.96663897197953e-08 11.3353935957327
"TUBA1B" 3.43722982523482 1.83936878995559 6.38260118283034 7.04451241822332e-08 2.11884633376558e-06 8.00960388120645
"TUBB1" 2.32257350773956 1.42581639624191 6.38112530420888 7.08097746502636e-08 2.11884633376558e-06 8.00461805344603
"P13647" 4.21138796647575 2.60010411438863 6.35489891238161 7.76132338551764e-08 2.15653914069026e-06 7.9160280599038
"KRT16" 3.76959080274959 2.4557089568436 6.18400145125112 1.4105722985544e-07 3.65808416091774e-06 7.3392411516296
"eeF1A1P5" 2.49947024292787 1.9684402153512 6.1102693615206 1.82481402389686e-07 4.43657909559924e-06 7.09073027976637
"P19823" 2.640965371253 1.84784059236717 6.04774882745595 2.26968576921072e-07 5.19357508366454e-06 6.88021033490445
"P01024" 3.93894592381685 2.31548225916967 5.85126970912355 4.49960507659289e-07 9.72414652663685e-06 6.22012772914124
"P07996" 3.62634414770125 2.00970292703318 5.71333495623521 7.26441149704179e-07 1.47846506760622e-05 5.75842279590147
"P68032" 3.93755902481689 2.03404680916652 5.69124333025857 7.84261426123836e-07 1.47846506760622e-05 5.68462971057667
"CKM" -3.16477780025357 1.35290143801116 -5.686180589006 7.98143095622894e-07 1.47846506760622e-05 5.66772495061223
"POTee" 2.9743698829134 1.39968024410531 5.61989018558439 1.00408049668258e-06 1.77539687822511e-05 5.44660719664234
"P68104" 2.49947024292787 1.89863603467514 5.20481670544198 4.18370911368635e-06 7.07592541401734e-05 4.07379813332271
"P68371" 2.86943686582078 1.62509992330438 5.10106778296609 5.95703829290495e-06 9.65536623308344e-05 3.7345015931864
"FBLN1" 2.51776787947763 1.37059447289955 5.00917421422743 8.13542426201668e-06 0.00012658720151698 3.43551283518462
"Q04695" 3.10154566965148 2.13005613425584 4.9717075808287 9.23415528261397e-06 0.000138157169420647 3.31405149439199
"P11142" 2.3483880911544 1.4286386572736 4.93135134877419 1.05814123952661e-05 0.000152450719324389 3.18352191919812
"P01023" 4.399755191009 2.44612252397125 4.88157820922828 1.25119128344603e-05 0.000173826217593037 3.02297610225175
"COL6A1" 1.59433200586952 1.0531367631725 4.87030877411859 1.29949870563493e-05 0.000174312067755859 2.98669553676093
"C4A" 2.78600069576552 1.81106546131638 4.82582354015897 1.5087647679967e-05 0.000195636498250239 2.8437383733538
"KRT6A" 3.80238616144094 2.57447632704768 4.76089664166764 1.8748903851919e-05 0.00023526850317408 2.635850293503
"LYSM" -1.96438076348917 1.09459348779693 -4.73033744987704 2.07616991366272e-05 0.000252384405129625 2.53832646422018
"P07900" 2.79025621208894 1.43066996680378 4.71203484008349 2.20672762167608e-05 0.000260126377221817 2.48001888565958
"MYH9" 2.98685613275171 2.01663136304521 4.63162653898995 2.88239983927951e-05 0.00032978045219992 2.22478838238827
