"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P63261",4.63492130366927,2.73660694264868,17.5224454681655,5.32425693262111e-23,5.96316776453564e-21,41.083761101409
"P60709",4.63492130366927,2.73660694264868,17.5224454681655,5.32425693262111e-23,5.96316776453564e-21,41.083761101409
"P13645",4.85784413617868,3.28286207275526,14.7905724454643,6.66547689264076e-20,4.62790613250676e-18,34.5064481413902
"P02768",5.71067509167175,3.53014814150613,14.7129739095148,8.26411809376206e-20,4.62790613250676e-18,34.3057628094287
"KRT1",5.58407186103063,3.56366728071721,14.6214325431211,1.06595573569e-19,4.77548169589118e-18,34.0679887054543
"KRT9",4.74938768397131,3.05443713763583,13.3084834270968,4.59298183896141e-18,1.71471321987893e-16,30.5326407186893
"TLN1",5.05578259305942,3.01286371076434,12.824116445591,1.9438589639235e-17,6.2203486845552e-16,29.1681406042122
"P68366",3.14789344951366,2.08258765709156,8.62822267727442,1.78925164850679e-11,5.00990461581901e-10,15.9954958083658
"FLNA",4.02136524135127,2.12980106281586,7.78510290675747,3.55756568169484e-10,8.85438569666272e-09,13.0995104859141
"KRT2",4.76034734142389,3.15887506003387,7.46553014918633,1.11824781200451e-09,2.5048750988901e-08,11.9892615102187
"TUBA1B",2.87068171773874,1.94726573425111,6.51595205699964,3.4187415174291e-08,6.80047461491337e-07,8.67390251147342
"P68032",3.62148488707027,2.10659978605528,6.49830405362913,3.64311140084645e-08,6.80047461491337e-07,8.61231949823771
"CKM",-2.6807044116337,1.43905061876519,-6.03630782002079,1.91596341465122e-07,3.27504714297348e-06,7.00517772674169
"TUBB1",1.78504015495385,1.59234073883428,6.01784511972212,2.04690446435842e-07,3.27504714297348e-06,6.94122513816997
"P07996",3.28363727621254,2.092374929761,5.91538200090476,2.9528690802175e-07,4.40961782645814e-06,6.58681352581084
"F12",-3.06520432073225,1.5732420082278,-5.88686656070317,3.26944346879281e-07,4.57722085630994e-06,6.48834450331175
"P19823",2.48302519737392,1.95199204990044,5.85946919736709,3.60530937236577e-07,4.75052529064666e-06,6.39380805061647
"KRT71",-3.40515129358348,2.0614298276594,-5.56043315583352,1.04354855260119e-06,1.2986381987926e-05,5.36720697269431
"KRT14",3.29394875793253,2.68973372823354,5.32432481018661,2.39793987249541e-06,2.82704490231038e-05,4.56488652633083
