"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"H2AC6" -2.57464871060702 0.321811550347599 -8.91242541422805 8.5050884671082e-12 3.04852221731738e-09 16.574320707347
"H2AC4" -2.57464871060702 0.328575956505916 -8.75712559670561 1.44937664848687e-11 3.04852221731738e-09 16.0718603392787
"H2AC25" -2.57464871060702 0.328575956505916 -8.75712559670561 1.44937664848687e-11 3.04852221731738e-09 16.0718603392787
"Q7Z3Y7" -5.00446054296595 0.378250244393938 -7.7936511567893 4.15166751990592e-10 6.54925551265159e-08 12.8991412944004
"Q06830" 2.77175802232065 0.336582340418348 7.64450224654143 7.02174727207918e-10 8.86144505736392e-08 12.4008276883881
"H2BC12L" -3.35213022778545 0.477914723900764 -7.33850676301101 2.0715382167825e-09 1.86734373541394e-07 11.3740425869725
"H2BC13" -3.35213022778545 0.477914723900764 -7.33850676301101 2.0715382167825e-09 1.86734373541394e-07 11.3740425869725
"O60814" -3.35213022778545 0.497880389597874 -7.10070848831847 4.81497026344308e-09 2.33711248940968e-07 10.572843471888
"H2BC14" -3.35213022778545 0.497880389597874 -7.10070848831847 4.81497026344308e-09 2.33711248940968e-07 10.572843471888
"H2BC9" -3.35213022778545 0.497880389597874 -7.10070848831847 4.81497026344308e-09 2.33711248940968e-07 10.572843471888
"H2BC5" -3.35213022778545 0.497880389597874 -7.10070848831847 4.81497026344308e-09 2.33711248940968e-07 10.572843471888
"H2BC15" -3.35213022778545 0.497880389597874 -7.10070848831847 4.81497026344308e-09 2.33711248940968e-07 10.572843471888
"H2BC4" -3.35213022778545 0.497880389597874 -7.10070848831847 4.81497026344308e-09 2.33711248940968e-07 10.572843471888
"H2AC7" -2.57464871060702 0.298618059715194 -7.06520707063711 5.46190158968207e-09 2.46175707363528e-07 10.4530458355422
"COL6A1" -2.57888625168013 0.906037327762269 -5.91719762543718 3.21489947687707e-07 1.35240104660629e-05 6.57794221412041
"TUBB1" -2.74314538617327 1.29215683445709 -5.73620550010456 6.08336474449412e-07 2.39912697110987e-05 5.97174271837755
"TLN2" 4.61821409584917 0.966455129892931 5.70902204485599 6.69334809836544e-07 2.48441332356976e-05 5.88094069822194
"BCL2L14" 2.77175802232065 0.278345186011782 5.68432658315855 7.29994831953499e-07 2.55903743868143e-05 5.7985104739522
"P11142" -2.71223360654603 1.29353643577238 -4.50529800710161 4.16462621507259e-05 0.00138309428511095 1.96917884661492
"P68366" -2.42460361208654 1.76508982753113 -4.40167915456503 5.86546206958758e-05 0.00185055328295488 1.64682114295571
"KRT15" -5.42700064718358 0.898171136215576 -4.35589410904763 6.8176585310867e-05 0.00197293836156292 1.50535824527034
"P02763" 2.63161671874265 0.32012740065791 4.35317558315808 6.87870744126533e-05 0.00197293836156292 1.49697812950699
"AMY2A" -1.96025868248912 0.570364073266519 -4.16814411729845 0.000125580704774358 0.0034452793353313 0.931944164898081
"IGLC3" 2.49520860704466 0.303549571080174 4.13080697172116 0.000141628607957518 0.00372365215088308 0.819260523257274
"PLeK" 1.6928128158425 0.356570434842956 3.94411154270869 0.000256727481472705 0.00647980163237108 0.263058952556944
"IGKC" 3.68075073183536 0.647521334386395 3.93038750391053 0.000268081963173186 0.00650614302931847 0.222669526197054
"P23526" -1.41113631325316 0.434848844648397 -3.77363622877526 0.000437461699781947 0.0102128668279627 -0.233508709605671
"P02656" 1.5998165328322 0.312947293834637 3.76222350251144 0.000453185849735271 0.0102128668279627 -0.266341823454334
"FBLN1" -2.46212295353755 1.2055395696611 -3.63652059489934 0.000666505666089034 0.0145022439759373 -0.624392685841422
"KRT18" 2.30154687453458 0.340387878901831 3.53083713261613 0.000917495515477369 0.019297989008874 -0.920139360058842
"P02749" -2.46212295353755 0.451919943200276 -3.44209187836602 0.00119576192113425 0.0243395410398617 -1.16457249813401
"P23528" 1.2122596816529 0.716620014092231 3.37756235911078 0.00144675438159555 0.0285281879620872 -1.33997673701222
"P46781" -1.61267349848041 0.294764093673969 -3.33366574708753 0.00164528548620164 0.0314598527816132 -1.45814250315548
"P63000" -1.90900965526457 0.56948871392229 -3.18023718222214 0.00256157826430865 0.0475398789640811 -1.86354157331405
"Q14533" -2.50940945810465 0.451527797045678 -3.16728184728472 0.00265783532518651 0.0479169740055054 -1.8972148360517
"AMY2B" -1.96025868248912 0.74822742113586 -3.09241463239577 0.00328423619074712 0.0575653621211508 -2.09004992974271
"P16403" 1.68200573225774 0.413501804493008 3.0660740865558 0.00353584149999427 0.0578797833893347 -2.15717146160903
"H1-4" 1.68200573225774 0.413501804493008 3.0660740865558 0.00353584149999427 0.0578797833893347 -2.15717146160903
"KRT8" 2.81539482940698 1.37402142304736 3.06189786902766 0.00357735586716966 0.0578797833893347 -2.16777831615774
"P00338" -1.57171391075791 0.339952528327364 -2.99210790026848 0.00434238049293822 0.0685010522761005 -2.34359365346961
"P05089" -1.77749050768602 0.390389495787338 -2.97088365940094 0.00460379519520423 0.0697262799518853 -2.39651695046449
"P11171" 0.961355685087424 0.343269224856955 2.95532184735026 0.00480472343777961 0.0697262799518853 -2.43515715018673
"THeMIS" -1.43633528966999 0.314023317558594 -2.93420214220463 0.00509051542621402 0.0697262799518853 -2.48737460991483
"KRT86" -2.50940945810465 0.501964950096177 -2.9255692980369 0.00521183351709512 0.0697262799518853 -2.50864453384388
"KRT31" -2.66363041451352 0.616384676505695 -2.92395606901912 0.00523480088867534 0.0697262799518853 -2.51261446335797
"AMY1A" -1.96025868248912 0.755503261094872 -2.91913095318421 0.00530405933072978 0.0697262799518853 -2.52447934798318
"AMY1B" -1.96025868248912 0.755503261094872 -2.91913095318421 0.00530405933072978 0.0697262799518853 -2.52447934798318
"AMY1C" -1.96025868248912 0.755503261094872 -2.91913095318421 0.00530405933072978 0.0697262799518853 -2.52447934798318
"P09210" 1.65195332198302 0.330527392169844 2.90095734738565 0.00557264824599195 0.0717620621065494 -2.56904588545349
"eHD3" 1.13263081279342 0.929085257842862 2.87203588194187 0.00602628982366152 0.0760517775746084 -2.63956872159844
"TUBA1B" -1.92991301469717 1.66164867095912 -2.75247049952776 0.00828974000750199 0.102565214602623 -2.92579689329513
"P68032" 2.43626698741756 1.87318986533482 2.70850888823679 0.00930305150549341 0.11288895192243 -3.0288323143022
"KRT24" -1.71158433214709 0.307843755544185 -2.64849147598183 0.010870755240745 0.1294235199417 -3.16753557103986
"P61224" -1.03710462869286 0.922756113454085 -2.56940285874081 0.013306167609982 0.155485032627752 -3.34678141342728
"CSTA" 0.960568414115565 0.381212035195322 2.53769209880954 0.0144152191146226 0.16538187747867 -3.41750134311799
"P12259" -1.96054580096767 0.759135697267659 -2.50267490137586 0.0157370399243488 0.177322717719001 -3.49481899792544
"KRT33A" -2.07573912908541 0.335776781552413 -2.47545784816277 0.0168393108364667 0.186414125224746 -3.5543458089077
"RDX" 1.3724856858123 0.501332519865363 2.4648442295307 0.0172877629608371 0.188078938418762 -3.57742329744583
"P29279" 0.821103660242473 0.375357173522509 2.45224109768681 0.0178342834023953 0.190736149608669 -3.60472722901001
"KRT33B" -2.07573912908541 0.421834264019887 -2.42060889933305 0.0192753459927708 0.202274419101899 -3.67277843375127
"P15311" 1.3724856858123 0.776083929513556 2.41473400877839 0.0195542623854451 0.202274419101899 -3.68534157857069
"APOB" -2.40694651298168 1.56865439369341 -2.3562606802998 0.0225348035630978 0.227126540638862 -3.80907916667562
"P63267" 2.43626698741756 0.706404285464378 2.35365454130029 0.0226766593664791 0.227126540638862 -3.81453855695832
"HBG1" 0.629166427390091 0.477156268145192 2.25916120797968 0.0283910672427962 0.275611745080067 -4.00923370078088
"HBG2" 0.629166427390091 0.477156268145192 2.25916120797968 0.0283910672427962 0.275611745080067 -4.00923370078088
"Q08554" 1.01237592511312 0.505329989393162 2.21537896550672 0.0314482387486378 0.297551616023411 -4.09726879432379
