"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-8.24535731191653,7.89886994691184,-32.1895416100827,1.05947166607144e-33,4.1213447810179e-31,59.1649100118932
"P13645",7.48144871019437,3.13597377247352,20.2938933230884,6.52055342116579e-25,1.26824764041675e-22,43.896466450968
"KRT1",8.49985360283188,3.40895010581031,19.5695383041889,3.01961460130481e-24,3.91543359969191e-22,42.6147291075023
"A2M",-7.38369530786036,6.92086440788217,-18.7515685575485,1.80022311051946e-23,1.66787742189621e-21,41.1036629426016
"P63261",5.64643467940593,2.61637983050475,18.5912367028293,2.57256157618952e-23,1.66787742189621e-21,40.7992673523905
"P60709",5.64643467940593,2.61637983050475,18.5912367028293,2.57256157618952e-23,1.66787742189621e-21,40.7992673523905
"AHSG",-6.63539030481503,6.33992813471078,-18.4662266774538,3.40378062094057e-23,1.89152951649412e-21,40.5600208387508
"TF",-6.73124237593454,6.50277193165561,-18.2472873210031,5.57752678595642e-23,2.71207239967131e-21,40.1369340851373
"SeRPINA1",-6.48784764931846,6.35969402538638,-17.6418806207169,2.23772188105837e-22,9.67193124146339e-21,38.9394643212543
"KRT9",6.79399381043375,2.91951637462526,16.7786385195851,1.72683524035738e-21,6.71738908499022e-20,37.1595123425618
"AFP",-5.8296164245453,5.71185561573929,-16.3250746095961,5.21002853917218e-21,1.84245554703453e-19,36.1887892124886
"P02768",7.09639605412381,3.38571285078241,15.6731534458199,2.64787756698201e-20,8.58353644630001e-19,34.7490208589028
"C3",-6.79966992040682,6.67762398894577,-15.3090224401487,6.70058580231524e-20,2.00502144392356e-18,33.9213433962087
"GC",-5.18791556545861,5.06743320271011,-14.6526946014921,3.7104321138445e-19,1.03097006591822e-17,32.385674365833
"HBBF",-5.05837128097593,5.11778033064974,-13.9747669733339,2.29206954644496e-18,5.94410035711393e-17,30.7385864105499
"ACTB",-4.47484723432121,4.64889836020568,-13.8584550400743,3.15003785740675e-18,7.20802780312485e-17,30.4496378226331
"ACTG1",-4.47484723432121,4.64889836020568,-13.8584550400743,3.15003785740675e-18,7.20802780312485e-17,30.4496378226331
"TLN1",6.39023870707432,2.87545084798534,13.6720679765717,5.26129780497857e-18,1.13702491452037e-16,29.98266759401
"APOA1",-6.20857522634133,5.73016030923517,-13.2299729250283,1.8069266182239e-17,3.69944449731104e-16,28.8554770874305
"GSN",-5.11436163687753,4.70798588107988,-13.1054181436633,2.56931538053284e-17,4.99731841513638e-16,28.5328882228505
"ITIH4",-5.59612075261601,5.57714384362311,-11.9277107139745,7.89915817121217e-16,1.46322501361978e-14,25.3718897006632
"SeRPINF1",-4.37208137861554,4.44950328492584,-11.6112010870513,2.04460104021347e-15,3.6152263847411e-14,24.4878627900983
"FeTUB",-4.86475804317982,4.59737110107439,-11.4705710179382,3.13276570275551e-15,5.29846025379084e-14,24.090365573569
"P68366",5.43069926572978,1.95366699123422,11.182819970648,7.56099870215629e-15,1.2255118729745e-13,23.2680054569486
"eeF1A1P5",5.01779132478513,1.9684402153512,10.9171502663148,1.72179739250414e-14,2.67911674273645e-13,22.4980310190543
"AGT",-4.97149739336058,5.18031301631619,-10.7975844862118,2.50101635805309e-14,3.73412619736549e-13,22.1481595163678
"A1BG",-4.2799592686022,4.21514638674972,-10.7810357346426,2.63402354954014e-14,3.73412619736549e-13,22.0995720885803
"KNG1",-5.31695643512591,4.61740896634327,-10.7745836078518,2.68780291841218e-14,3.73412619736549e-13,22.0806178266002
"SeRPINA5",-4.82984199814474,4.45273357818194,-10.6542575597279,3.92208320217649e-14,5.26100126085053e-13,21.726040609702
"HBA",-4.30609576401502,4.58751823349648,-10.5151745516589,6.0843660261724e-14,7.88939461393688e-13,21.31360260979
"TUBB1",4.10118900243431,1.42581639624191,10.028174801459,2.88574372991072e-13,3.62114293850087e-12,19.8478657536712
"C4",-4.68544153751826,4.65920312784159,-9.86469106922166,4.89838305811447e-13,5.85869742871682e-12,19.3484282981766
"KRT2",7.46815981467068,3.01917522849957,9.86021412851766,4.97010321716337e-13,5.85869742871682e-12,19.3347000181766
"P61224",3.32827974188629,1.06500774225224,9.40654295904288,2.1949428917619e-12,2.51127289675112e-11,17.929646775191
"eHD3",3.49617381752513,1.05773225180497,9.3918300242129,2.30418621809574e-12,2.56093839668355e-11,17.8836275909682
"P68104",5.05792872867387,1.89863603467514,9.37377405666237,2.44579244980064e-12,2.64281461936791e-11,17.8271140659299
"KRT14",5.80245488942054,2.59721950884683,9.20915231157448,4.22002353615252e-12,4.43672744746846e-11,17.3099514612891
