"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P13645",5.82921673722521,3.13597377247352,17.7666508139887,1.67572030801131e-22,6.51855199816399e-20,39.7301533786044
"KRT1",6.56456730128812,3.40895010581031,16.9820819572807,1.05962915847716e-21,2.06097871323809e-19,38.0771149114087
"P63261",4.03858766958521,2.61637983050475,14.940983299508,1.73889344327331e-19,1.69107387358329e-17,33.4328995851937
"P60709",4.03858766958521,2.61637983050475,14.940983299508,1.73889344327331e-19,1.69107387358329e-17,33.4328995851937
"KRT9",5.34399312320228,2.91951637462526,14.829044034027,2.33120476714223e-19,1.81367730883665e-17,33.1630308803958
"P02768",5.52588584003285,3.38571285078241,13.7131157460329,4.69756013793699e-18,3.04558482276248e-16,30.3816268820816
"TLN1",4.59583751026333,2.87545084798534,11.0483515911149,1.14547464981558e-14,6.36556626826087e-13,23.0386323935444
"KRT14",4.78956151608834,2.59721950884683,8.54120866817483,3.97639083122619e-11,1.72792318125062e-09,15.2304829738097
"eeF1A1P5",3.49322515782202,1.9684402153512,8.53962823327312,3.99776571497573e-11,1.72792318125062e-09,15.2253186291287
"KRT2",5.71351936709335,3.01917522849957,8.47602327403673,4.96140583556395e-11,1.92998687003438e-09,15.0172657358234
"KRT16",4.66921107316035,2.4557089568436,7.65982557882942,8.17379261833891e-10,2.89055029866712e-08,12.3145051575663
"P13647",5.00922193105171,2.60010411438863,7.55881416172582,1.16008054488792e-09,3.76059443301167e-08,11.9763967209837
"P68104",3.49322515782202,1.89863603467514,7.27418008225791,3.12110392213017e-09,9.33930327468182e-08,11.0204555419597
"APOA2",-3.89133035418358,2.08057150987048,-7.23677200705575,3.55569237767704e-09,9.87974524940263e-08,10.8945175167247
"Q04695",3.87250278524986,2.13005613425584,6.20753440537616,1.29923522540437e-07,3.36935001788199e-06,7.4186063748625
"P19823",2.61492368539229,1.84784059236717,5.98811397694128,2.79426937993401e-07,6.79356742996456e-06,6.67960490675785
"PKM",2.47740796208864,1.51734925952507,5.91921817723674,3.55218774749575e-07,8.12824137515205e-06,6.44811665471194
"KRT6A",4.67329649992293,2.57447632704768,5.85134719814171,4.49839277918137e-07,9.72152661723085e-06,6.22038753762676
"KRT13",2.91647687822867,1.66250528245446,5.80177026111522,5.34433782755848e-07,1.09418284995802e-05,6.05425883694416
"KRT3",3.1318555619435,1.68289539879105,5.53096022118668,1.36532084181105e-06,2.65554903732249e-05,5.1506871622451
