"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P06733" -3.13551143487642 1.00307738353785 -6.36908644271957 8.18543207450077e-08 3.69942883145733e-05 7.89479513476137
"P07900" -3.52680200814716 1.26570801424459 -6.26507080176959 1.17256064388505e-07 3.69942883145733e-05 7.55241465995609
"eDIL3" -3.13681555103568 0.874239341804051 -6.08097943924234 2.2138917842889e-07 4.65655238628764e-05 6.94701392534381
"P15311" -2.63359328241442 0.776083929513556 -5.92412413456976 3.80144196981728e-07 5.99677470738676e-05 6.43213074657656
"FLNA" -3.40646414801884 1.75658537855711 -5.68350807750537 8.6904660474727e-07 0.000109673681519105 5.64496317437739
"P00558" -2.58157478150812 0.750630568987068 -5.6208154289353 1.07728025709027e-06 0.000113001353290613 5.44055739688612
"MFGe8" -1.59567520949693 0.28800563179801 -5.57652398532732 1.25358078135387e-06 0.000113001353290613 5.29635183037473
"AZGP1" 2.38646699492114 0.618569799322471 4.75152986096194 2.02461704577792e-05 0.00150032624034686 2.65559879526744
"eHD3" -1.52680087923271 0.929085257842862 -4.68580533977037 2.51560257386164e-05 0.00150032624034686 2.45019842155661
"TUBB1" -1.80521707993629 1.29215683445709 -4.66550262933211 2.68966315018276e-05 0.00150032624034686 2.38693774273525
"P63261" -1.23914270510805 2.45979019689723 -4.64756620902909 2.8532353223712e-05 0.00150032624034686 2.33112618074752
"P60709" -1.23914270510805 2.45979019689723 -4.64756620902909 2.8532353223712e-05 0.00150032624034686 2.33112618074752
"Q9BUF5" -2.61423147812147 0.589043054365598 -4.57709418301462 3.59582822721164e-05 0.00174535970105427 2.11255250686951
"IGLC3" 2.16258568513489 0.303549571080174 4.39242529656721 6.55877922403785e-05 0.00295613549311992 1.54551426029085
"P68366" -1.88486295541539 1.76508982753113 -4.31948691871055 8.29779282088199e-05 0.00349060484665103 1.32401123855101
"P26038" -2.50478333236132 1.1333406550057 -4.2810331393292 9.38813413579397e-05 0.00350102176787093 1.20783057443454
"P11142" -2.0823824632836 1.29353643577238 -4.26491588694876 9.88559621466395e-05 0.00350102176787093 1.15926149735505
"C4A" 2.4072648365397 1.69571761681544 4.24394225835454 0.000105715592927847 0.00350102176787093 1.09617110106759
"RDX" -1.91865396398719 0.501332519865363 -4.22115479702559 0.000113694100021695 0.00350102176787093 1.02777158065706
"ACTB" -1.23914270510805 4.58489953713887 -4.20811712790134 0.000118519539439877 0.00350102176787093 0.988707001662367
"ACTG1" -1.23914270510805 4.58489953713887 -4.20811712790134 0.000118519539439877 0.00350102176787093 0.988707001662367
"PKM" -1.58878109895895 1.39826985526521 -4.19886523753517 0.000122064150385357 0.00350102176787093 0.961016743402458
"IGKC" 3.04212451867761 0.647521334386395 4.14488352216302 0.000144896850219204 0.00397521358644859 0.799975157290314
"P68371" -2.31404851970532 1.45345865388749 -4.06668699870655 0.000185483692981108 0.00487667542796163 0.568320056605203
"P02649" 1.81324753592794 0.591694934187602 4.00692855371814 0.000223740021722058 0.00564719814826473 0.392633438491053
"TUBB" -2.4688646197526 1.37916446976825 -3.97233703982637 0.000249270865798971 0.00604961216612117 0.291487043277399
"P02768" 1.48131688041154 3.23301415862248 3.83588406088827 0.000380364027652017 0.00888924820179344 -0.103392183686127
"TLN1" -1.6333898015465 2.71389669310979 -3.81068003840572 0.00041097138839867 0.00926153378855573 -0.175585713852968
"LPA" 1.65252265889915 0.288490087895019 3.67919213138707 0.000613250892348825 0.0132997810778114 -0.548252753635511
"P02647" 2.61611840838272 0.803771327597334 3.6690502149474 0.000632319227154268 0.0132997810778114 -0.576712988768978
"HSP90AB1" -3.12478617899543 1.67089272268817 -3.63665492650379 0.000697116750528535 0.0141896990188228 -0.667339756196479
"IGHG1" 3.03800197167232 0.493334150531808 3.59530020221248 0.000789133272807757 0.0151287052519517 -0.782400455175822
"P02763" 1.77230948167581 0.32012740065791 3.59442544479228 0.00079120011618765 0.0151287052519517 -0.784826551818992
"P19823" 1.43657117326393 1.72378064659439 3.58149465919883 0.000822364196681105 0.0152621120031111 -0.820651758585843
"TUBA1A" -2.74765966475515 1.19948842838369 -3.47018948440079 0.00114377685937158 0.0206206628075276 -1.12604736760679
"P00738" 2.48745354285836 0.333793307575117 3.41530134331421 0.00134344881178441 0.0235476722287768 -1.27462543070689
"ANXA5" -1.62470126046688 0.794981727204845 -3.40039437188062 0.00140316543815164 0.0239296592290185 -1.31474022609258
"VTN" 1.12632458524784 1.30500717022259 3.39015289130111 0.00144564788488257 0.024005363562129 -1.34224068549933
"QSOX1" 0.839029907863591 0.805070645396471 3.33366230278627 0.00170284955916049 0.0275512326110326 -1.49304827447791
"P01009" 2.66001736233732 0.384859138319171 3.31840009663893 0.00177946838954323 0.0280711138450445 -1.533533190921
"IGHG3" 2.58668896054169 0.378716402118438 3.25683308138668 0.0021230465545833 0.0326742042912698 -1.69570559873273
"S100A12" 1.41526072534805 0.286516449992109 3.21462533086741 0.00239392478361796 0.0357730842024158 -1.80580820069083
"P08238" -2.07824035479914 1.08591880466753 -3.2082197573552 0.00243778545277952 0.0357730842024158 -1.82243997422269
"Q3SWY2" -2.15100245474227 0.975216442046511 -3.19070814721783 0.00256160005808992 0.0362996457928372 -1.8678025201166
"IGHG4" 2.21976890886895 0.354738482674643 3.18697901236109 0.0025887227586017 0.0362996457928372 -1.87744253354418
"LYZ" 1.26437775300485 0.618327282928133 3.15934371838593 0.00279833322022586 0.0383858317817938 -1.94866045499434
"PIP" 1.06101451211058 0.463104733121213 3.14833472457215 0.00288621248047436 0.0387489377697728 -1.97692231361585
"TUBA1B" -1.77086229261726 1.66164867095912 -3.11985703380589 0.00312575590973904 0.0409217213613368 -2.0497382360953
"Q0VCM4" -2.26197598320732 0.998684414612892 -3.11394741476272 0.00317775649240175 0.0409217213613368 -2.06479591057744
"Q9BQe3" -2.76329779616355 0.969807632327124 -3.07022015836163 0.00358859151822222 0.0452880249599645 -2.17564151522819
"P61204" -0.966541009605458 0.540338427439164 -3.05329402626364 0.00376062393688566 0.0465003832359528 -2.21827545464065
"IGHG2" 2.46635392662502 0.404079427542237 3.0464797035779 0.00383204426033209 0.0465003832359528 -2.23539617067905
"P07737" -0.705129918429349 0.41744026887899 -3.03097839144903 0.00399927973808009 0.0476140663156327 -2.27424939381187
"P07195" -0.846015458897842 0.331726118496806 -3.0233944264849 0.00408356967485368 0.0477172678672718 -2.29321083693017
"P68871" 1.74392316809325 0.444238308283867 2.98419619144447 0.00454640645805273 0.0508481100469477 -2.39071406177808
"TUBB6" -2.71804613051499 0.781667074279942 -2.98413220954119 0.00454720054675822 0.0508481100469477 -2.39087252326174
"P02656" 1.045414902445 0.312947293834637 2.98043944689967 0.00459325241311572 0.0508481100469477 -2.40001441437825
"AKR1A1" -1.21026843035779 0.457750447432581 -2.97394480540144 0.00467530587466762 0.0508641035675046 -2.41607441206663
"GPI" -1.89563698075949 1.05996408749265 -2.95517655830063 0.00492019156171667 0.0523491788935705 -2.46235309197531
"IGHA1" 2.16522661859999 0.533600844183805 2.95089320818636 0.00497773491856455 0.0523491788935705 -2.47288745439321
