"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"UBB",-3.13868010150225,0.754972106198902,-7.24329308467724,3.47578464570684e-09,6.7604011358998e-07,10.8210391773923
"P0CG48",-3.13868010150225,0.754972106198902,-7.24329308467724,3.47578464570684e-09,6.7604011358998e-07,10.8210391773923
"FLNA",5.05643943304441,1.94622889739667,6.95606569565374,9.47301577785143e-09,1.00092777613375e-06,9.88338246612579
"P62979",-3.13868010150225,0.826696115854738,-6.93233493516541,1.02923164641003e-08,1.00092777613375e-06,9.80575059849183
"P63104",2.87707533789187,1.02876247999891,6.86295361385378,1.31180872521687e-08,1.02058718821873e-06,9.57866528285142
"POTee",3.97722142379349,1.39968024410531,6.13574066084076,1.6695452323246e-07,1.08242182562378e-05,7.19446702674512
"TUBB",4.27363803837203,1.55550919138058,5.67887463148534,8.18606760670181e-07,4.54911471286715e-05,5.70298817079893
"P34931",3.28777519204411,0.857992294258848,5.42883912438974,1.9412461264957e-06,9.43930929008536e-05,4.89321101265375
"P26038",3.46392188499704,1.29594388763761,5.08799828579915,6.22751674566698e-06,0.000269167112673828,3.80104962452884
"LRP1",2.81840058546648,0.778836242934973,4.99233228819555,8.61239004649099e-06,0.0003350219728085,3.49757795612593
"Q9BUF5",3.24015868667202,0.772245621082417,4.89268644423074,1.20530583243616e-05,0.000426239971652423,3.18316369800314
"MYH11",2.56700472799591,0.813994716585664,4.83143775037616,1.4806297710893e-05,0.000479970817461447,2.99081997007008
"Q13509",3.81015204754463,1.07733684802175,4.7091492234049,2.22803418774978e-05,0.000666696383872818,2.60903736713737
"AZGP1",-3.09142388585513,0.821127098909867,-4.65141173784653,2.69938284220161e-05,0.0007339520677098,2.42988987284194
"TUBA1B",3.05849173400671,1.83936878995559,4.63714651838593,2.83014936134884e-05,0.0007339520677098,2.38574270230054
"KRT31",-4.07151125653557,0.79207591293003,-4.4914232333551,4.57687700515415e-05,0.0010986971075632,1.9375138827048
"P68366",2.36975652579839,1.95366699123422,4.47681730393069,4.80150406904224e-05,0.0010986971075632,1.892875032395
"eDIL3",2.75932068711038,1.05310899536172,4.43905970374436,5.43332522069086e-05,0.00117420195047153,1.77773347309602
"POSTN",3.22872225345205,1.03572541643493,4.38057336726281,6.57553037861689e-05,0.00134625332488525,1.60012023723363
"Q9BQe3",4.73821719092898,1.17739584610662,4.35483703295574,7.14952302943228e-05,0.00137143668149886,1.52225612360588
"TLN2",3.15478012104585,1.10544850568922,4.34408110973704,7.40364275359282e-05,0.00137143668149886,1.48976868602965
"Q9NY65",3.59875022466655,0.950188341295903,4.31586189323411,8.11296335233683e-05,0.00143451942911774,1.40468847272055
"P62987",-2.04508910921109,0.778036181657141,-4.16790693325501,0.000130614121584919,0.00220908231724059,0.962397873563906
"VCL",3.67738695658219,1.09331505663949,4.08254063163693,0.000171433281014381,0.00277864776310809,0.710261578168651
"P68371",2.78196184053079,1.62509992330438,4.03803389272387,0.000197377605554184,0.00302554422683218,0.579743332444327
"SeRPIND1",2.78686886217624,0.867886758831868,4.03035765408747,0.000202221465032485,0.00302554422683218,0.557298972589118
"SeRPINB12",-1.95650760374452,0.756539404534591,-4.00634099020663,0.000218132070066016,0.00314271760206222,0.487205636109392
"P07900",2.81208917955687,1.43066996680378,3.8774648450714,0.000326485960319294,0.00453582280586448,0.114501350470475
"KRT4",-2.24724752046768,0.990790724299546,-3.69220266840965,0.00057727987438586,0.00757357554494347,-0.410514998236462
"Q8N1N4",-2.92900185482732,1.04438723187023,-3.68835386945126,0.00058408037621672,0.00757357554494347,-0.42128002124355
"SeRPINB3",-2.87552960314188,0.93675025011604,-3.62056062205117,0.000717252508940604,0.0090003621283192,-0.60990633284628
"Q7RTS7",-2.74867542371671,1.27703309365531,-3.58016626845207,0.000809961961214751,0.00984610009101682,-0.721391036151378
"MYH9",2.78026715183714,2.01663136304521,3.52014155723612,0.000969187921625745,0.0114246697428004,-0.885767349304286
"KRT77",-3.36458164402014,1.25641552382787,-3.46600419521824,0.00113809093150931,0.0130210991869742,-1.03266948402539
"C4B",-3.83544047856424,0.825451840140098,-3.23486787510671,0.00222900920778079,0.0247738451950493,-1.64464610926064
"TUBA1A",2.99722453362338,1.4003424540644,3.19084912652121,0.00252677943935298,0.0273032556085641,-1.75825930892108
"P68032",2.62835971008014,2.03404680916652,3.10183897841964,0.00324720571343184,0.0341395411493239,-1.98497423676701
"C5",2.72039023704825,0.94545995618737,3.08091936487905,0.00344256309026879,0.0352409747924884,-2.03765837699486
"P61224",-1.17296628312816,1.06500774225224,-3.04134588349892,0.0038426598988478,0.0371018472182667,-2.13668365149761
"P02768",1.49698706784657,3.38571285078241,3.03323914608646,0.00392982840534108,0.0371018472182667,-2.15686546065804
"LYZ",-1.43399162352942,0.816234948298071,-3.02984073748381,0.00396691851139473,0.0371018472182667,-2.16531526426156
"P09429",-2.09286444315599,1.26815882585194,-3.02630503768673,0.0040058549695815,0.0371018472182667,-2.17409978708159
"HSPA6",1.96557127069494,0.881838350545178,2.99966161702972,0.00431098140391072,0.0389993433981691,-2.24007714901455
"Q86Y46",-2.61869532207005,1.1857206287167,-2.94718129733338,0.0049765987968551,0.0439976575449235,-2.36889241637287
"P08729",-2.08787012860169,0.884330985275087,-2.90719055678654,0.00554691403766589,0.0479499902367118,-2.46601834614395
