"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P63261",4.68928219459229,2.61637983050475,17.3482644647602,4.44639243330316e-22,8.64823328277465e-20,38.8573488175585
"P60709",4.68928219459229,2.61637983050475,17.3482644647602,4.44639243330316e-22,8.64823328277465e-20,38.8573488175585
"P13645",5.28799315599593,3.13597377247352,16.1170757829916,8.70841493234553e-21,1.12919113622747e-18,36.1714729188022
"P02768",5.98353327042519,3.38571285078241,14.848820023233,2.21331651760447e-19,2.15245031337034e-17,33.2108268178174
"KRT1",5.67904983659304,3.40895010581031,14.6913094707065,3.35036588399322e-19,2.60658465774672e-17,32.8287224556774
"KRT9",5.00981431271677,2.91951637462526,13.9017314081158,2.79803871753595e-18,1.8140617685358e-16,30.863548853563
"TLN1",5.28049540081616,2.87545084798534,12.694262935362,8.32701906176025e-17,4.62744345003534e-15,27.6930697299186
"P68366",3.50704169655469,1.95366699123422,8.11432134078276,1.70596806597587e-10,8.29526972080767e-09,13.8266180803777
"KRT2",5.1662960337686,3.01917522849957,7.66421580278348,8.05046026701006e-10,3.47958782651879e-08,12.3291851028001
"KRT14",4.23021937876122,2.59721950884683,7.54373574799912,1.22239145803452e-09,4.75510277175427e-08,11.9258703609326
"FLNA",4.25393224530189,1.94622889739667,7.16729142373397,4.53051587073715e-09,1.60215515792432e-07,10.6604465132357
"P13647",4.0923744790956,2.60010411438863,6.17530997696852,1.4540566317713e-07,4.56433769830695e-06,7.30993465306357
"TUBA1B",3.31821633785467,1.83936878995559,6.16160472232354,1.52535707141363e-07,4.56433769830695e-06,7.26372874511929
"TUBB1",2.20356002035941,1.42581639624191,6.05414319865531,2.21962039918583e-07,5.9222842677912e-06,6.90173220768777
"H1-3",-2.95536799369817,1.12736348218594,-6.04598946399999,2.28365717267013e-07,5.9222842677912e-06,6.87428914142827
"KRT16",3.65057731536943,2.4557089568436,5.98876021229742,2.7879829275603e-07,6.77828349263098e-06,6.68177765961834
"LYSM",-2.4680194491584,1.09459348779693,-5.94312724109673,3.26842319780731e-07,7.47892131733555e-06,6.52841574108821
"eeF1A1P5",2.38045675554772,1.9684402153512,5.8193259235644,5.02807497709735e-07,1.08662287005048e-05,6.11306448993889
"H1-2",-2.95536799369817,1.09669133478812,-5.78238843201263,5.71651115408319e-07,1.13992209819326e-05,5.98936519682114
"P19823",2.52195188387285,1.84784059236717,5.77521072961135,5.86078199585225e-07,1.13992209819326e-05,5.96534093556705
"P01024",3.8199324364367,2.31548225916967,5.67447621483515,8.31176943464524e-07,1.5396563381319e-05,5.62865273265813
"P07996",3.5073306603211,2.00970292703318,5.52582823044816,1.38971858343712e-06,2.40461310005755e-05,5.13363669594816
"P68032",3.81854553743674,2.03404680916652,5.51922439365492,1.42175067612657e-06,2.40461310005755e-05,5.1117006107754
"APOA2",-2.93494175696264,2.08057150987048,-5.45816017041361,1.75486590500323e-06,2.8443451543594e-05,4.90910474146528
"POTee",2.85535639553325,1.39968024410531,5.39502147187056,2.18066539855537e-06,3.39311536015216e-05,4.70010792704759
"UBA52",-3.00361576689726,1.32474527356399,-5.31891034123734,2.83175445551582e-06,4.23674031998328e-05,4.44886774768769
"KRT222",-2.62040147477885,0.969104467853743,-5.13020029770034,5.395162855265e-06,7.77303092851143e-05,3.8295960008545
"PGLYRP1",-3.84320138203642,1.5938618371208,-5.01419471428266,7.99835038165209e-06,0.000111119939230809,3.45180845628344
"P68104",2.38045675554772,1.89863603467514,4.95698683467564,9.70478419877882e-06,0.000130177967356033,3.26640173837668
"RNASe4",-2.84458461399821,0.913827514006548,-4.94591043861896,1.00744077822648e-05,0.0001306314875767,3.2305759329065
"P68371",2.75042337844063,1.62509992330438,4.88949460864582,1.21831821033903e-05,0.000152879285103833,3.0484775046571
"CKM",-2.68046131944562,1.35290143801116,-4.81600544688852,1.55923609723962e-05,0.000189544638070691,2.81224335874127
"Q04695",2.98253218227133,2.13005613425584,4.78093165151755,1.75346702695203e-05,0.000206116061976316,2.69990161918902
"FBLN1",2.39875439209748,1.37059447289955,4.77239333502517,1.80423881888491e-05,0.000206116061976316,2.67259400424797
"CAPNS1",-2.21145500435211,0.858051979934831,-4.76416796886287,1.85451469644501e-05,0.000206116061976316,2.6463025420547
"P01023",4.28074170362885,2.44612252397125,4.74953139721782,1.94740365271394e-05,0.000210427783584923,2.59955569439714
"APOC3",-2.900286315009,1.26793116509266,-4.73765906280186,2.02609392791306e-05,0.000213013658907616,2.56167276215704
"CATHL4",-2.56539473743222,1.03048592688038,-4.7184335353126,2.16019253679525e-05,0.000221135499161409,2.50039479317241
"P11142",2.22937460377425,1.4286386572736,4.68143638636867,2.44321690842017e-05,0.000243299582180074,2.38271317053065
