"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P02768" 6.81363043611729 3.38571285078241 16.7342767223826 4.33328360188021e-22 1.6856473211314e-19 38.7991244170427
"P13645" 5.22602832638574 3.13597377247352 15.1361109383537 2.87108222103495e-20 5.58425491991299e-18 35.0030512110076
"KRT9" 5.11114380828268 2.91951637462526 14.1757581057722 4.11167911563992e-19 4.21236541455322e-17 32.5609185496708
"KRT1" 5.77279089114065 3.40895010581031 14.1573596312505 4.33148114607015e-19 4.21236541455322e-17 32.5129049558504
"P63261" 3.84846301739209 2.61637983050475 14.0112796431579 6.55920676487245e-19 4.25255238589231e-17 32.1300252724245
"P60709" 3.84846301739209 2.61637983050475 14.0112796431579 6.55920676487245e-19 4.25255238589231e-17 32.1300252724245
"TLN1" 4.0320902251711 2.87545084798534 9.71711802731287 4.34907443723978e-13 2.41684279440896e-11 19.521417146484
"P19823" 3.64282906390385 1.84784059236717 8.44970926706351 3.47757791392385e-11 1.69097226064547e-09 15.3269100711061
"KRT2" 5.14602279449579 3.01917522849957 7.67408275940723 5.44791536888327e-10 2.35471008721732e-08 12.6828108627606
"KRT14" 4.65942722210497 2.59721950884683 7.58143330782944 7.58704488816034e-10 2.95136046149437e-08 12.3641890605265
"C4A" 4.14000549975572 1.81106546131638 7.27765148880487 2.25358040435405e-09 7.96947979357934e-08 11.3165652896329
"P01024" 4.65016879777068 2.31548225916967 7.06712189459502 4.80087435042862e-09 1.55628343526394e-07 10.5885879843993
"MYH9" 4.08804248281212 2.01663136304521 6.48233809104452 3.93230680334947e-08 1.17666718961765e-06 8.5641780824262
"P13647" 4.41192025786651 2.60010411438863 6.18084338214389 1.16021934188975e-07 3.1805419514438e-06 7.52312892632224
"KRT16" 4.26014386308068 2.4557089568436 6.16534991340014 1.22643005839735e-07 3.1805419514438e-06 7.46974717022464
"eeF1A1P5" 2.66838286504979 1.9684402153512 6.14582613887755 1.31524780725434e-07 3.19769623138711e-06 7.40249930874383
"P68366" 2.60013397038777 1.95366699123422 5.86352272232861 3.60512840094199e-07 8.24938204686138e-06 6.43310696826021
"VTN" 2.15395260978525 1.40921416454494 5.8031660364547 4.46905265881578e-07 9.65811935710745e-06 6.22670911806511
"P01023" 5.06981472803909 2.44612252397125 5.75880391866647 5.23238052772417e-07 1.07126106593932e-05 6.0752337958355
"FBLN1" 3.00326415473817 1.37059447289955 5.63861461893838 8.01370636646701e-07 1.55866588827783e-05 5.66589910696207
"P68104" 2.66838286504979 1.89863603467514 5.53360109252287 1.16159173512308e-06 2.15171040458514e-05 5.30963926158712
