"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P63261",4.76020820908256,2.73660694264868,17.079993809793,7.26210606491274e-22,8.13355879270227e-20,38.5969792262521
"P60709",4.76020820908256,2.73660694264868,17.079993809793,7.26210606491274e-22,8.13355879270227e-20,38.5969792262521
"P13645",5.29844420347236,3.28286207275526,16.1476328900324,7.06198764723342e-21,5.27295077660096e-19,36.5186287240692
"KRT1",5.54899539950263,3.56366728071721,14.6426253782735,3.39207582445464e-19,1.8995624616946e-17,32.9387067245834
"P02768",5.59305746264827,3.53014814150613,13.7553974767273,3.76107531723159e-18,1.68496174211975e-16,30.6904161339733
"TLN1",4.63277921599089,3.01286371076434,10.9741048028846,1.34187695473039e-14,5.0096739643268e-13,22.9358900458613
"KRT9",4.08319700850211,3.05443713763583,10.9043568148043,1.6685619398449e-14,5.33939820750367e-13,22.7273841089648
"P68366",3.39882494309772,2.08258765709156,8.8643197792646,1.27429196514914e-11,3.56801750241758e-10,16.3404425196152
"KRT14",4.83984041874067,2.68973372823354,8.23620370645351,1.07961810480645e-10,2.68704950529604e-09,14.2736944333715
"HABP2",-2.98848008067687,1.33364828925658,-7.47909133195382,1.48173825425782e-09,3.31909368953751e-08,11.7364252971044
"FLNA",3.90548588392058,2.12980106281586,7.31021232623803,2.67070657624663e-09,5.43852975526587e-08,11.1653971975229
"TUBA1B",3.354582875112,1.94726573425111,7.1359727039592,4.9111489945008e-09,9.16747812306816e-08,10.5749040242925
"POTee",3.26407660716186,1.55755606480302,6.72326223721126,2.0864255374202e-08,3.45009146439189e-07,9.17280457729175
"KRT16",4.35704016756372,2.5364333186317,6.71387257380148,2.15630716524493e-08,3.45009146439189e-07,9.1408769203132
"P68371",3.33447089088488,1.75239805099663,6.6629558197592,2.57810579870904e-08,3.84997132607217e-07,8.96774139336121
"MST1",-3.07142648559113,1.6572762956501,-6.58344886758714,3.40773406872192e-08,4.77082769621069e-07,8.6973969363568
"P11142",2.81454084899104,1.58731738439312,6.54590961008178,3.88752300607948e-08,5.12238325506944e-07,8.56976723436621
"eeF1A1P5",2.80994370620354,2.0344425061276,6.4681741034544,5.1065233629724e-08,6.35478462947676e-07,8.30552668495604
"TUBB1",1.99708280084355,1.59234073883428,6.24810198416869,1.10473997782825e-07,1.30243028965015e-06,7.55815838064103
