"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" -6.00671434718702 1.75040977732359 -17.8544820240645 4.66211530839189e-09 1.37532401597561e-06 11.1463910129057
"THBS4" -2.60925982352531 2.59491138889951 -9.61831786045368 1.87489390236856e-06 0.000276546850599363 5.58233913702631
"APCS" 2.13972442018406 2.27668375580325 8.09883120813588 9.04724928927335e-06 0.000889646180111879 4.00250121592658
"IGFBP6" -3.11904951298301 1.44157619810673 -7.72773357681752 1.37509794720719e-05 0.0010141347360653 3.5776057129853
"LTF" 2.63043474716691 3.57797574930512 6.78805161624364 4.25285723498046e-05 0.00212252406381519 2.42454148537763
"CST3" -3.07313784632161 1.64526870437168 -6.70522291193103 4.7217144792303e-05 0.00212252406381519 2.31730997487859
"RNASe4" -2.53220080810379 1.70306998652199 -6.6183908653884 5.2736954999852e-05 0.00212252406381519 2.2038846547405
"FGG" 3.2185051175907 3.56420348710343 6.51698614646131 6.00778411163092e-05 0.00212252406381519 2.07010260621045
"F7" 1.38950016958113 2.54411352435091 6.45911240425958 6.47549714384295e-05 0.00212252406381519 1.99310783506033
"TGM3" -2.27318874597604 1.21697549074761 -6.28635153485337 8.12060895452829e-05 0.00230715317030202 1.7604645400027
"FGA" 3.26913891489392 3.88432828550186 6.24279017771879 8.60294402485499e-05 0.00230715317030202 1.70113611295113
"NAP1L1" 2.2864590158576 2.28559176631142 5.6634061615687 0.000189891976742722 0.00466817776159192 0.886028620131954
"CPN1" -2.58576542427067 4.04459748475027 -5.22687336246761 0.000355609291839386 0.008069595468663 0.239516880604485
"H2A1" -2.42274908475785 1.80050811147294 -5.05539842969882 0.000458378123597257 0.00855356247198103 -0.0220480531488327
"TAGLN2" -2.70291771527284 2.43409501560093 -5.04826636671141 0.000463285911404489 0.00855356247198103 -0.033019229509291
"TUBB3" 2.43117125609635 3.06979014321408 5.03649121907598 0.000471511528340155 0.00855356247198103 -0.0511488204405808
"MDH1B" -3.80017607962715 2.09523810948778 -5.00684481132689 0.000492917159402297 0.00855356247198103 -0.0968820330001519
"YWHAB" 1.53636395252246 1.99087116427765 4.9208412884978 0.000561072290109039 0.00919535142123147 -0.230263995587158
"CFH" -2.61553986376019 2.83013535977159 -4.82209170272162 0.000651877862906897 0.00970985255010861 -0.384707111097131
"HMGB1" 1.91073514591474 1.98671738771771 4.81567469613635 0.000658295088142956 0.00970985255010861 -0.394790672147193
"HMGB2" 1.48635535385591 2.02393245021452 4.62164963641615 0.000887681757246642 0.0124698151613219 -0.702368143909592
"APOD" 1.61206062926584 2.74479780579411 4.57920159041997 0.000948354745854598 0.0127165750012321 -0.770342342569804
"IGFBP2" -2.51721416075613 3.02938249026485 -4.51642763090418 0.00104624851122494 0.0128351422422251 -0.871305338914886
"FGB" 2.48778504007393 4.5228412397939 4.48713412677863 0.001095533953061 0.0128351422422251 -0.918597307181559
"HSPA1A" 1.90966130123416 2.57110647693856 4.43907780009074 0.00118177121376926 0.0128351422422251 -0.996421790029517
"HSPA1B" 1.90966130123416 2.57110647693856 4.43907780009074 0.00118177121376926 0.0128351422422251 -0.996421790029517
"C7" 2.20476180076177 2.66104238691755 4.42321005123932 0.00121179637759897 0.0128351422422251 -1.02218397939696
"CFL1" -1.85729150958795 2.34431985102747 -4.41985320221727 0.00121825078909255 0.0128351422422251 -1.02763813746907
"AHCY" 2.07953686623522 2.50915357508349 4.37090840169938 0.00131659215629447 0.0133929202105817 -1.10732525054557
"CHAD" -2.32029124603751 1.10186633523598 -4.30502071912893 0.00146238265794281 0.0143800961364376 -1.21507025561884
"HBA" -1.35875589841565 6.35501045088591 -4.17011704502324 0.00181650969842344 0.0172861406785457 -1.43731497617624
"TUBB5" 2.35350584075348 3.15978881443397 4.10805672838938 0.00200868985114633 0.0185176095652552 -1.54026580318123
"PLG" 2.98213167341504 5.2510944043989 4.08603304756723 0.0020819213100758 0.0186111147415867 -1.57690416103928
