"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P63261" 5.06152685205525 2.61637983050475 18.7254046101557 1.90790585727631e-23 3.71087689240242e-21 41.6577618078997
"P60709" 5.06152685205525 2.61637983050475 18.7254046101557 1.90790585727631e-23 3.71087689240242e-21 41.6577618078997
"P13645" 5.58025944090373 3.13597377247352 17.0078632185486 9.96340162097108e-22 1.29192107685258e-19 38.1325541725385
"KRT1" 5.82167049699285 3.40895010581031 15.0602592632139 1.27442049183356e-19 1.23937392830813e-17 33.7186615006577
"P02768" 5.86821532933492 3.38571285078241 14.5626454044399 4.71087645304926e-19 3.66506188047232e-17 32.5141724549325
"KRT9" 4.44423648264177 2.91951637462526 12.3323097502851 2.38657626329258e-16 1.54729694403469e-14 26.7027277422267
"TLN1" 4.9707837268995 2.87545084798534 11.9497188870438 7.3972509940974e-16 4.11075805243413e-14 25.6355942438236
"KRT14" 5.23024978437876 2.59721950884683 9.32708654957202 2.85410159053654e-12 1.38780689839839e-10 17.7641857864447
"P68366" 3.99920925807142 1.95366699123422 9.25306050991767 3.64754362893694e-12 1.57654941295163e-10 17.5286044380338
"eeF1A1P5" 3.26433315569359 1.9684402153512 7.98007294684405 2.70562809209339e-10 1.05248932782433e-08 13.3816786590908
"KRT16" 4.80716305285202 2.4557089568436 7.8861353528224 3.73922960267267e-10 1.32232755949061e-08 13.0694539899553
"FLNA" 4.29632371218933 1.94622889739667 7.23871522165585 3.53168976305576e-09 1.12187115951503e-07 10.9010610575795
"TUBA1B" 3.8890416192962 1.83936878995559 7.22157170206114 3.74918382357207e-09 1.12187115951503e-07 10.8433267378828
"HABP2" -3.40704935479354 1.22761421618688 -7.17961161086873 4.33993809957597e-09 1.19145061792955e-07 10.7019658629755
"POTee" 3.7912233679458 1.39968024410531 7.16328494289598 4.5942825884173e-09 1.19145061792955e-07 10.6469432967445
"P68371" 3.911934658603 1.62509992330438 6.9543414924936 9.53027673999982e-09 2.31704853241246e-07 9.94197714231102
"P13647" 4.58972507272379 2.60010411438863 6.92580192206592 1.05300810607536e-08 2.40953031331362e-07 9.8455894348046
"P11142" 3.23767817989594 1.4286386572736 6.79876069865356 1.64204534369916e-08 3.54864243721651e-07 9.41633255933516
"PKM" 2.82999722222587 1.51734925952507 6.76165220087779 1.86968674605073e-08 3.82793760112491e-07 9.29090154322992
"Q04695" 4.17950428719484 2.13005613425584 6.6996508715242 2.3226893906422e-08 4.51763086479907e-07 9.08130122775102
"P06733" 3.18017809705388 1.16215827316113 6.6025847348179 3.26230637546019e-08 6.04303419073341e-07 8.75312948433625
"LOX" -2.96553738314362 0.816160085207953 -6.52575031282626 4.26885823190611e-08 7.30130739157495e-07 8.49337423800435
"TUBB1" 2.37404794732944 1.42581639624191 6.52254810434518 4.31696838062272e-08 7.30130739157495e-07 8.48254940226313
"P63104" 2.13911902216168 1.02876247999891 6.24943000867229 1.12227611061075e-07 1.81902252928159e-06 7.55995161776836
