"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P35443",3.20493330045096,0.314705057137273,9.81080873894621,7.70107362967142e-13,4.85937746032267e-10,18.8867430940924
"SLC2A1",2.15300422064133,0.273565477653511,8.91706902319341,1.40537107063935e-11,4.43394572786714e-09,16.1472641390319
"P16070",2.3474945300136,0.292146950984891,8.08927026927179,2.23467212452727e-10,4.70026036858903e-08,13.523256833238
"P07195",2.66458740820868,0.331726118496806,7.77500811644114,6.49146048331461e-10,8.20020301720003e-08,12.508775723002
"PARVB",2.33537757646927,0.408945657906606,7.77472222116435,6.49778369033283e-10,8.20020301720003e-08,12.5078488799095
"FLNA",5.57636835774746,1.75658537855711,7.59658643633268,1.19319280898386e-09,1.2548411041147e-07,11.929079148364
"H2BC12L",-3.44900472142485,0.477914723900764,-7.38457583697444,2.46610865911816e-09,1.86604847693487e-07,11.2372067881775
"H2BC13",-3.44900472142485,0.477914723900764,-7.38457583697444,2.46610865911816e-09,1.86604847693487e-07,11.2372067881775
"P63104",3.18508141256389,0.884129142970355,7.33542461118132,2.91924933463017e-09,1.86604847693487e-07,11.0763847068486
"O60814",-3.44900472142485,0.497880389597874,-7.2136646199116,4.43593140317322e-09,1.86604847693487e-07,10.677377436094
"H2BC14",-3.44900472142485,0.497880389597874,-7.2136646199116,4.43593140317322e-09,1.86604847693487e-07,10.677377436094
"H2BC9",-3.44900472142485,0.497880389597874,-7.2136646199116,4.43593140317322e-09,1.86604847693487e-07,10.677377436094
"H2BC5",-3.44900472142485,0.497880389597874,-7.2136646199116,4.43593140317322e-09,1.86604847693487e-07,10.677377436094
"H2BC15",-3.44900472142485,0.497880389597874,-7.2136646199116,4.43593140317322e-09,1.86604847693487e-07,10.677377436094
"H2BC4",-3.44900472142485,0.497880389597874,-7.2136646199116,4.43593140317322e-09,1.86604847693487e-07,10.677377436094
"MFGe8",2.51236179581513,0.28800563179801,7.16895126097997,5.17358670632211e-09,2.04033325730578e-07,10.5306493850682
"P49747",3.33730702495744,0.476961206766378,7.01756717002875,8.71457960185045e-09,3.23464689927508e-07,10.0331686517761
"P15311",3.74464198549989,0.776083929513556,6.87765073212223,1.41207786106828e-08,4.95011739074492e-07,9.57254781874919
"P46781",-3.29266932922238,0.294764093673969,-6.77471130819738,2.01475409590488e-08,6.69110439218936e-07,9.23326644244292
"TUBB",5.09473377211068,1.37916446976825,6.6930593941808,2.67134180518117e-08,8.42808339534658e-07,8.963969523888
"O00299",2.15300422064133,0.309808546473659,6.66274005140372,2.96640671345704e-08,8.91334588662567e-07,8.86394218778697
"P61981",2.15300422064133,0.3862453650712,6.55572844750367,4.2939688859701e-08,1.23158834865779e-06,8.51080595772088
"P34931",4.17124108900888,0.704760182144938,6.2636361313453,1.17838653288754e-07,3.1461717355645e-06,7.5468730045503
"MYH14",2.82572383739009,0.505922711842503,6.25918596934481,1.19664218151423e-07,3.1461717355645e-06,7.53219436000558
"P00742",2.35735883171561,0.369009306496356,6.20037821798992,1.46614326902394e-07,3.70054561101643e-06,7.33826054464796
"P50395",2.15300422064133,0.305060164883725,6.12035987261003,1.93261397717445e-07,4.69030545998875e-06,7.07452614614706
"P61204",2.33537757646927,0.540338427439164,6.02365123923342,2.69786405652688e-07,6.30500822099429e-06,6.75607327019019
"O43505",1.66815744653042,0.29264576963563,6.00896667787782,2.83795260019677e-07,6.39552889544344e-06,6.7077514424218
"POTeI",3.9614690526552,0.510637212644928,5.98642577885184,3.067219448304e-07,6.67384645475802e-06,6.63359602103789
"Q08380",3.69427145063456,0.393787616540834,5.89843552389179,4.15293504917361e-07,8.73500672009516e-06,6.34436456243959
"P51884",3.18508141256389,0.355631198281322,5.77618935859322,6.32280219349728e-07,1.28699618841832e-05,5.94327288305075
"P68366",3.03089021388894,1.76508982753113,5.67122607366823,9.06418294357542e-07,1.78184511491635e-05,5.59971363386644
"CLeC11A",1.57509315062965,0.313556625083039,5.66314680039556,9.31868285138506e-07,1.78184511491635e-05,5.57330481888637
"RPL30",-1.92072506357562,0.316838166991133,-5.6096557529332,1.11923216610325e-06,2.07716322591514e-05,5.39859765773087
"P84077",2.33537757646927,0.497523308665411,5.48010359456834,1.74258055424705e-06,3.14162379922824e-05,4.97656368891684
"eDIL3",3.42079614539986,0.874239341804051,5.4145967378628,2.17849461897303e-06,3.81841695714439e-05,4.76382212933384
"P26038",3.8046043893128,1.1333406550057,5.30936154677332,3.11544586129492e-06,5.31309821210026e-05,4.42309479892686
"Q06830",1.89507265893903,0.336582340418348,5.25500761495743,3.74587256366502e-06,6.22011996755955e-05,4.24765251892537
"P07900",3.49794891685879,1.26570801424459,5.07355925876614,6.91112575249797e-06,0.000111818470508365,3.66498773333216
"P68371",3.49146604545797,1.45345865388749,5.00991641128177,8.55807005214457e-06,0.000135003555072581,3.46182514482773
"P68871",-3.5598366720096,0.444238308283867,-4.97375590289379,9.66050581402428e-06,0.000148677540698764,3.34669606344305
"TUBA1B",3.38104100139196,1.66164867095912,4.86356484362454,1.39572165892593e-05,0.000209690563519587,2.99730644038401
"P63000",-2.86723241088511,0.56948871392229,-4.75248450939695,2.01822956703954e-05,0.00029616345507022,2.64745348788974
"P35580",2.75292981891961,0.441271939685429,4.72352335481289,2.22110739608565e-05,0.000318526992484101,2.55665409789419
"P21291",-1.16329648672444,0.410715326481604,-4.35372125908415,7.43178481371463e-05,0.00104210138165643,1.41438401444023
"KRT84",-3.93408794196464,0.579494009436698,-4.24351306037487,0.000105860699855326,0.00145213264366762,1.08087672208455
"P05089",-2.39175718605554,0.390389495787338,-4.1380691312866,0.000148059025685361,0.00198777117462686,0.765150194025076
"Q7Z3Y7",-2.68265431426457,0.378250244393938,-4.0573854196515,0.000190990575715939,0.00251073027659911,0.525919984932996
"ADAMTS13",1.66815744653042,0.332982228000967,3.94128140351644,0.000274578408301358,0.0035358974620032,0.18547128673218
"MYH9",3.03944953605368,1.83979858127324,3.83945184287342,0.00037621320518086,0.00474781064938245,-0.109213391663091
"RPL12",-1.16155060129948,0.361472331618091,-3.7975700469368,0.000427817595295106,0.00529319416923944,-0.229304392076646
"RPS4X",-2.00898056079575,0.513292028294379,-3.5764660518179,0.000834798255490042,0.0101299557541195,-0.851855053479203
"Q86UX7",1.78465852232983,0.290262389270065,3.47699213905629,0.00112110019913528,0.0133474382198936,-1.12527237719549
"P11142",2.06575992625098,1.29353643577238,3.45449200120327,0.00119778677409618,0.0139963602676794,-1.18651083405237
"C4A",-2.39403875735271,1.69571761681544,-3.44612591571042,0.00122755701769822,0.0140834268757742,-1.20922253456738
"LYZ",-1.58760611931428,0.618327282928133,-3.23904637566077,0.00223345657635567,0.0251662696371505,-1.76095662167756
"P23526",1.22028078153587,0.434848844648397,3.18815323612158,0.00258015329504496,0.0285627496346205,-1.89335993800765
"THBS3",1.1672980905152,0.323629307052341,3.13922896200014,0.00296085831882364,0.0322120965375468,-2.01939921629148
"P16402",-1.46204719981765,0.535435086540311,-3.1033796132126,0.00327278138993343,0.035002119610983,-2.11096701441079
"IQGAP1",-2.57343878515444,0.787962784654897,-3.07305574431981,0.00356050448265101,0.0374446388092131,-2.18789295190839
"PIP",1.23833648561705,0.463104733121213,3.00021663553855,0.00435160693223494,0.0445412978417885,-2.3706551403922
"P68032",2.69095392513712,1.87318986533482,2.99813389530226,0.00437648251377319,0.0445412978417885,-2.37583850855164
"TUBB1",1.41732349609275,1.29215683445709,2.9908343637007,0.00446472045246186,0.0447180731032291,-2.39398618736695
"Q86Y46",-2.87326642746963,1.05126095261204,-2.96204427777823,0.00482922447892938,0.0476131350969444,-2.46527503646879
"LOXHD1",1.14003697719512,0.305129942147082,2.92528705981532,0.00533504843155527,0.0516005249476278,-2.55561888898097
"P06733",1.76056020032954,1.00307738353785,2.91994051881759,0.00541261298241468,0.0516005249476278,-2.56869645066638
"TLN2",2.3710758436812,0.966455129892931,2.91542236696875,0.00547897808477189,0.0516005249476278,-2.57973514546675
"P08727",-2.72906592859063,1.29650660735389,-2.8929126367636,0.00582106262617418,0.0540160370164104,-2.634557405063
"FLNB",1.52527062692956,0.413331594768217,2.86849563330747,0.00621455262826295,0.0568316334555641,-2.69369637602818
"P09210",1.65764435143603,0.330527392169844,2.84592448346717,0.00660015960341323,0.0594957244250535,-2.74805791302249
"MYH11",1.52527062692956,0.652544957969425,2.83940670305228,0.00671557684175211,0.0596835068612054,-2.76370047688558
"P35625",-0.566328756645115,0.334972889619899,-2.80849072990388,0.00728899399699359,0.0633634902818622,-2.83755881396943
"P02656",-1.20557616049228,0.312947293834637,-2.80634227155227,0.00733048302785411,0.0633634902818622,-2.84267054536215
"P29279",-0.953804781725814,0.375357173522509,-2.76896042627091,0.00808829429902876,0.0687164332807209,-2.93117208416433
"C5",2.33537757646927,0.771532167322534,2.76157452924563,0.00824634063408967,0.0687164332807209,-2.94855930728639
"Q14533",-2.22583238944039,0.451527797045678,-2.76018163956541,0.00827646423032454,0.0687164332807209,-2.95183464669935
"HNRNPR",1.38049572189127,0.274976810390274,2.71291512258818,0.00936096630049912,0.0755354208838914,-3.06228399636341
"P63267",2.69095392513712,0.706404285464378,2.71262424087452,0.00936802833983524,0.0755354208838914,-3.06295949607263
"KPRP",-2.33595647891564,0.531270244173194,-2.70898119440908,0.0094568910456853,0.0755354208838914,-3.0714151638997
"HBD",2.20987582478139,0.814906290238242,2.638208791665,0.011344665211585,0.088654181139516,-3.23405243484928
"KRT8",2.37456849878955,1.37402142304736,2.63697897923918,0.0113803307009521,0.088654181139516,-3.23685095765788
"P62851",-1.15663918846453,0.538293948984258,-2.62082091108251,0.0118585709001028,0.0912531492434743,-3.27353119608231
"KRT86",-2.22583238944039,0.501964950096177,-2.57536522800698,0.0133043257098199,0.1011449340108,-3.3758303974032
"IGHA1",-2.26697400933807,0.533600844183805,-2.52261542376788,0.0151826904227529,0.114050924485203,-3.4928789151832
"FLNC",1.1672980905152,0.271711608969947,2.51222445259563,0.0155799996084438,0.115658585328565,-3.51572220250706
"Q13509",2.14010764782536,0.919595553811429,2.4584022861287,0.0177931521439393,0.130552081428206,-3.63290371523275
"PGK2",-1.03909878869493,0.431077244658023,-2.37817619460063,0.0216221723609322,0.156822882295956,-3.80396847077299
"P62736",2.69095392513712,0.638998481544567,2.36788354038802,0.0221636651781789,0.158216995750218,-3.82559831328243
"P31946",0.984924734687267,0.416300648724564,2.36080944825202,0.0225428617607565,0.158216995750218,-3.84042216862241
"P05452",-1.16119017660493,0.63467875107243,-2.36037001529128,0.0225666079516951,0.158216995750218,-3.8413418692188
