"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-8.82451978552629,7.83356785233269,-39.7419554576927,9.66405222284477e-39,6.09801695261505e-36,68.3765688694729
"AHSG",-7.43692535433813,6.27250171719331,-21.6078412774545,1.39293865654173e-26,4.39472146138916e-24,47.7629695994441
"A2M",-7.83083571343346,6.85398639709391,-20.681372836313,9.56026868236072e-26,1.93514659274431e-23,46.1323668452406
"TF",-7.30431396574073,6.43319179890424,-20.5638332482999,1.22671733295994e-25,1.93514659274431e-23,45.9197662543738
"P02768",8.83265777570822,3.23301415862248,20.299906750695,2.15613796544816e-25,2.72104611239558e-23,45.437557838215
"P13645",7.51745189783683,2.97643993189695,20.1701723819184,2.85103449129351e-25,2.99833794001034e-23,45.1980498926637
"P63261",5.92887046593528,2.45979019689723,19.5669018488525,1.06509605472259e-24,8.40094513162446e-23,44.0624393035953
"P60709",5.92887046593528,2.45979019689723,19.5669018488525,1.06509605472259e-24,8.40094513162446e-23,44.0624393035953
"KRT1",7.93978819978619,3.24960602826261,17.7460051891523,6.94707338397756e-23,4.87067033921093e-21,40.4043327151777
"KRT9",7.07392416381063,2.75795260815414,17.5013241364238,1.24775799601101e-22,7.87335295482945e-21,39.884927235656
"AFP",-6.37109853278706,5.63990601640145,-17.1134123311851,3.19680047817671e-22,1.83380100157228e-20,39.0472770200161
"SeRPINA1",-7.12294353753413,6.29018619540095,-17.0159686904506,4.05886744015711e-22,2.13428779561595e-20,38.8340835013251
"C3",-7.38683180112498,6.60985039740058,-16.9616813328263,4.63828222771327e-22,2.2513508351439e-20,38.7148216676383
"GC",-5.77645976018987,4.99867536177431,-16.0657413757899,4.38890520381228e-21,1.97814227400396e-19,36.6950671751267
"eRC1",3.3260028026955,0.453126800778874,15.9867577112765,5.37285356842299e-21,2.2601804011166e-19,36.5122630680148
"ACTB",-5.19976929781755,4.58489953713887,-15.5476392910622,1.67532604500573e-20,6.21841608469772e-19,35.4815528318663
"ACTG1",-5.19976929781755,4.58489953713887,-15.5476392910622,1.67532604500573e-20,6.21841608469772e-19,35.4815528318663
"TLN1",7.07392416381063,2.71389669310979,14.7604292772141,1.35948331346285e-19,4.76574428219477e-18,33.5713448472895
"HBBF",-5.36628848414505,5.04709494072043,-13.0237014701237,1.79194983825205e-17,5.95115972598443e-16,29.0603634301915
"APOA1",-6.65353356842999,5.65700133956763,-12.7020904166749,4.61117012380529e-17,1.45482417406057e-15,28.1785770387477
"GSN",-5.47256869996728,4.6420356331314,-12.625228178396,5.79110586770657e-17,1.74008942977278e-15,27.9656465344783
"SeRPINF1",-4.86458383731223,4.38231994384435,-12.2983894057926,1.53885394973545e-16,4.41371291946849e-15,27.0507297343305
"A1BG",-4.79957139243732,4.15117798268516,-11.9979476617997,3.82489609445094e-16,1.04935192852111e-14,26.1961294580654
"eeF1A1P5",4.93967593607201,1.86671378928113,11.8922242284362,5.28407799534992e-16,1.3675429690787e-14,25.8923030041712
"ITIH4",-6.16858742826611,5.50207756163405,-11.8840463327824,5.41815756370324e-16,1.3675429690787e-14,25.8687342637749
"FeTUB",-5.1297849204455,4.53036562922424,-11.8049552195115,6.90704994486649e-16,1.67628789046568e-14,25.6402951758213
"HBG1",2.87368152478387,0.477156268145192,11.3034479974972,3.28128362958007e-15,7.3946070366608e-14,24.1708102474717
"HBG2",2.87368152478387,0.477156268145192,11.3034479974972,3.28128362958007e-15,7.3946070366608e-14,24.1708102474717
"HBA",-4.70072408014515,4.52126570357216,-11.2718652807171,3.62354618803349e-15,7.85810544576658e-14,24.0770586030189
"SeRPINA5",-6.05165669095832,4.39741935957571,-11.2621429307108,3.73602477611723e-15,7.85810544576658e-14,24.0481695519288
"P68366",5.60858528512746,1.76508982753113,11.1537674737462,5.25719722343999e-15,1.07009401548085e-13,23.7252264731935
"KNG1",-6.01876500210898,4.54464354662345,-10.8379221833857,1.43485289969129e-14,2.82935056157876e-13,22.7745101553501
"P19823",4.75025144851972,1.72378064659439,10.7206031770125,2.0901677160408e-14,3.99665402673255e-13,22.4177759669312
"VTN",3.92859889191059,1.30500717022259,10.685875776158,2.33714763798023e-14,4.33747105754567e-13,22.3118086045021
"P23526",3.62742099485527,0.434848844648397,10.6262407260354,2.83226985624653e-14,5.10617794083303e-13,22.1294438567654
"COL6A1",4.20627251306195,0.906037327762269,10.5723593562302,3.37053558391051e-14,5.89717201466911e-13,21.9642467765318
"P07195",3.24223747569183,0.331726118496806,10.5644416762147,3.45792970749219e-14,5.89717201466911e-13,21.9399375459856
"TUBB1",4.59554506349471,1.29215683445709,10.5269734590252,3.90365732080147e-14,6.48212570901507e-13,21.8247826200831
"P35443",3.17424510823346,0.314705057137273,10.4816978252563,4.52065136813212e-14,7.31418208536248e-13,21.6853723181193
"AGT",-5.63645699101933,5.10974841269168,-10.4609735988699,4.8351417392124e-14,7.62743609360755e-13,21.6214646564473
"APOH",-5.39167944476424,3.60746490795528,-10.3684777787874,6.53210820096392e-14,1.00530738409957e-12,21.3355108696576
"P35625",1.84221994315331,0.334972889619899,10.2735954175693,8.90320747497818e-14,1.33760093255029e-12,21.0409579135659
"C4",-4.98930772940775,4.59241938916497,-10.1968856735484,1.14454333036141e-13,1.67955079408849e-12,20.8019219949092
"KRT2",7.51745189783683,2.86031237617989,10.0413088432904,1.90910265560637e-13,2.73782676292641e-12,20.3146842788273
"P68104",4.93967593607201,1.79940580014137,9.73108405325953,5.34150735548008e-13,7.48998031401762e-12,19.3335158502453
"P37802",3.4934391509042,0.354293361291635,9.63475536211034,7.36906868404026e-13,1.01084398687596e-11,19.0263017025132
"P35900",3.64019732202863,0.909107359925009,9.5734970136975,9.04743067460343e-13,1.21466569269676e-11,18.8303187641066
"KRT14",6.39680446037721,2.44276934440136,9.42922510990206,1.46937142385283e-12,1.93161118427319e-11,18.366886230417
"SLC2A1",2.02068862407652,0.273565477653511,9.39132506322853,1.6696537053731e-12,2.15010507773556e-11,18.2447140616735
"ORM1",-4.81193860923492,3.86425014046426,-9.38263077911763,1.71935969936541e-12,2.16983194059915e-11,18.2166628066981
"P18065",3.94848864146639,0.31297054960441,9.34223519881107,1.97064759351157e-12,2.43819339510941e-11,18.0862090560525
"P63104",3.42878820218383,0.884129142970355,8.8794898270272,9.52112102695175e-12,1.15535141692434e-10,16.5780140458675
"P11142",4.78056890759694,1.29353643577238,8.69894601691899,1.77081393120873e-11,2.10827092564662e-10,15.9830271683623
"P23528",2.84294208536752,0.716620014092231,8.6769351256268,1.91038540482579e-11,2.23232072304643e-10,15.9102519389052
"QSOX1",2.37280721434517,0.805070645396471,8.64416808616638,2.13898092460329e-11,2.45399447895396e-10,15.8018197998414
"P00742",2.95768661503983,0.369009306496356,8.63273853431226,2.22504622219457e-11,2.50715029679424e-10,15.7639711661407
"TUBA1B",5.49833192061883,1.66164867095912,8.59026407387331,2.57662880732382e-11,2.80944222660256e-10,15.623200743913
"CFH",-5.98068913026323,4.64711187182647,-8.58961987107072,2.5823716187472e-11,2.80944222660256e-10,15.6210642864221
"P02675",3.26812745458764,0.361465457081215,8.57076685252248,2.75627501670151e-11,2.94781277209941e-10,15.5585208296711
"SeRPINF2",-4.91474911711791,4.3277909011828,-8.45186274967477,4.16059422074858e-11,4.37555825548725e-10,15.1632484042052
"HPX",-5.04806430456434,4.43467162277725,-8.43944595888992,4.34372162355242e-11,4.49325958108455e-10,15.1218913876393
"COL3A1",2.49533424588552,0.302753326489726,8.38883735581119,5.17806405201123e-11,5.26993293035337e-10,14.9531747196131
"P02788",4.19172512725724,1.24423163318215,8.30603317713748,6.90592748341892e-11,6.91688927307514e-10,14.6766061620472
"PARVB",2.38505637284967,0.408945657906606,8.24871860551795,8.43193283605219e-11,8.3133587805452e-10,14.4848055149065
"KRT16",6.2231867463487,2.30697925096178,8.24208171085471,8.62928784299137e-11,8.37704712142701e-10,14.4625763883721
"HBA1",5.50718180420556,1.70191375070829,8.20872206835791,9.69399259366125e-11,9.2680444342428e-10,14.3507850127088
"P06733",4.39735434243439,1.00307738353785,8.16942867476035,1.1119044353259e-10,1.04718163983678e-09,14.2189842608089
"FLNA",5.69337615951979,1.75658537855711,8.16042807639785,1.14741073024878e-10,1.06472966292203e-09,14.188775039651
"P61981",2.37280721434517,0.3862453650712,8.11484676084138,1.34553602056791e-10,1.23048294054834e-09,14.0356821100257
"TTR",-4.21383232205121,3.61322770476154,-8.0416297931507,1.7384287204339e-10,1.56706931799113e-09,13.7894080524846
"P61224",2.95768661503983,0.922756113454085,8.02698422336322,1.8299251247245e-10,1.60455430076494e-09,13.7400936203429
"KRT5",-5.97008038225039,4.67624021226336,-8.0268368228757,1.83087020055588e-10,1.60455430076494e-09,13.7395972075173
"eDIL3",4.61006848946879,0.874239341804051,8.00895005787444,1.94927575151872e-10,1.68492191672372e-09,13.6793456439262
"P07737",2.02068862407652,0.41744026887899,7.99366245206495,2.05656393635778e-10,1.75363762681319e-09,13.6278293112682
"PKM",3.39577124742878,1.39826985526521,7.97474849353718,2.1975604151521e-10,1.8488808292813e-09,13.5640675546335
"O00299",2.2955700094485,0.309808546473659,7.8845630258878,3.01583723266562e-10,2.50393854448948e-09,13.2596634949993
"P01024",5.81230525396205,2.16965196404416,7.84437554421455,3.4732962043881e-10,2.84629857788167e-09,13.123824388657
"C4A",4.91098323476411,1.69571761681544,7.84020816894127,3.52455830056553e-10,2.85127729186776e-09,13.1097314581804
"P13647",6.12190505042304,2.44539382196407,7.71703846786494,5.43726517867903e-10,4.342929528793e-09,12.6926631888754
"O43505",2.03333034173793,0.29264576963563,7.67811599335828,6.23678289853022e-10,4.91926251121571e-09,12.5606576359423
"PLG",-5.80897121019075,5.08341324061474,-7.65044729278048,6.87602450966837e-10,5.35650798222314e-09,12.4667612026094
"AMY2A",3.27188113437296,0.570364073266519,7.62109685752572,7.62624029024078e-10,5.86848490627065e-09,12.3671063354063
"LIMS1",2.53384110253228,0.626390033840329,7.59034493203723,8.50067043236616e-10,6.46255788291933e-09,12.2626377244334
"P50395",2.37280721434517,0.305060164883725,7.57479426345921,8.98050556191835e-10,6.74607024948866e-09,12.2097889101471
"LOXHD1",2.63504688205574,0.305129942147082,7.53864367197464,1.02037683229102e-09,7.57479742559572e-09,12.0868783231562
"P05543",3.39577124742878,0.424580065328214,7.50619134114473,1.14438330169297e-09,8.3965798066077e-09,11.9764801654967
"SeRPINC1",-5.57054584483338,4.95379030804966,-7.47432767173142,1.28085779691682e-09,9.28989965350015e-09,11.8680298800422
"P62826",2.37280721434517,0.748294253470853,7.45328229990049,1.37984244407435e-09,9.89409752512405e-09,11.796371656898
"THBS1",-4.60891309486672,3.82406536567389,-7.42811538944104,1.50834646592803e-09,1.06940069662987e-08,11.7106506571269
"P36955",4.32920239156575,0.746790949493321,7.39265120651268,1.71008092712364e-09,1.18815526831181e-08,11.5898038968632
"POTee",4.58015106842468,1.22222899345803,7.39208630096373,1.71350442815174e-09,1.18815526831181e-08,11.5878784585374
"SeRPINA3-7",-4.75727164953241,4.02428387310896,-7.38653303030734,1.74752724726893e-09,1.19857575328989e-08,11.5689497603939
"P21291",1.7746611189064,0.410715326481604,7.36282846444705,1.90054698309543e-09,1.28951091003572e-08,11.4881352228938
"MYH14",3.17424510823346,0.505922711842503,7.28545681165656,2.49997623688063e-09,1.6659054244503e-08,11.2241857293449
"Q04695",5.40886463494739,2.00730714342483,7.28454172954466,2.50809849956859e-09,1.6659054244503e-08,11.2210624820327
"AMBP",-4.21182576981864,3.34141423414827,-7.24829870898059,2.85199692506111e-09,1.87459381220163e-08,11.0973357976986
"MYH9",5.07514086509659,1.83979858127324,7.18947524131596,3.51369224180856e-09,2.28571113874351e-08,10.8964199579122
"KNG2",-5.55609281603239,4.12277039415999,-7.18531653382897,3.56592234245011e-09,2.29484596975282e-08,10.8822110070618
"P68371",4.81152130323914,1.45345865388749,7.18259905645685,3.60047148978651e-09,2.29484596975282e-08,10.8729259573241
"ADIPOQ",-3.74769034127999,2.93752513994763,-7.07725706078217,5.23309756752711e-09,3.30208456510961e-08,10.5128178409047
"P05452",3.11937228973041,0.63467875107243,7.03857330292579,6.00381429318982e-09,3.7169368298349e-08,10.3805015573833
"eHD3",2.53384110253228,0.929085257842862,7.03836020264034,6.00836064410713e-09,3.7169368298349e-08,10.3797725552463
"FBLN1",4.33978372614273,1.2055395696611,7.02158284794524,6.37733464715850e-09,3.90689141976409e-08,10.3223750382574
"P07900",4.6708973728455,1.26570801424459,7.01579519467504,6.50981593896175e-09,3.94970563219698e-08,10.3025732528056
"P04406",4.07141851997019,1.46040235764334,7.0054943121332,6.75246314587935e-09,4.0579088048094e-08,10.2673281763295
"P07996",5.23407253888394,1.8511055360765,6.99300016224705,7.05896539657871e-09,4.20208223135959e-08,10.2245757109385
"F12AI",-5.21114974757715,4.11224061514221,-6.96923752399282,7.68088250658534e-09,4.52956716042556e-08,10.1432561679708
"KRT13",4.12867064119165,1.5651524960697,6.93255883162329,8.75027307530333e-09,5.11242806529297e-08,10.0177157121925
"P49747",3.11937228973041,0.476961206766378,6.92252365950109,9.06800420739655e-09,5.24945931639195e-08,9.98336439929506
"P0DMV8",4.7186353612569,0.839672292936283,6.79728825178953,1.41536532526201e-08,8.02957962667201e-08,9.55456949012063
"P0DMV9",4.7186353612569,0.839672292936283,6.79728825178953,1.41536532526201e-08,8.02957962667201e-08,9.55456949012063
"P16070",1.7746611189064,0.292146950984891,6.79533713585312,1.42521857081975e-08,8.02957962667201e-08,9.54788797278959
"F2",-4.92271570611498,4.46967325870573,-6.78967894962039,1.45418253453616e-08,8.12025822382583e-08,9.52851163208334
"KRT6A",6.51861268821503,2.4219735959836,6.70895016083402,1.93770515957298e-08,1.07253680323732e-07,9.25204765089338
"P51884",3.30118450511712,0.355631198281322,6.68735552937261,2.09236200808354e-08,1.14806993660931e-07,9.17809467765393
"TUBB",4.89119784887899,1.37916446976825,6.62327495853391,2.62781631467417e-08,1.42944146082707e-07,8.95865692507296
"P02771",3.72200773716692,1.20445681963199,6.60427759627488,2.811450423367e-08,1.51626086935434e-07,8.89360819151639
"KRT3",4.44015284132088,1.58048859238809,6.59419724036376,2.91404246423101e-08,1.55827186010997e-07,8.85909359696069
"THBS3",2.37280721434517,0.323629307052341,6.57508949828994,3.11888800095e-08,1.65379691478946e-07,8.79367291889942
"P01023",6.54250211271722,2.29391897658004,6.55003056325046,3.40949743078021e-08,1.79282739901859e-07,8.70788388295032
"P62937",2.49533424588552,0.554483106393435,6.53934590370929,3.54149267740715e-08,1.84684452846604e-07,8.67130783793687
"KRT75",-5.0131940952963,3.74408656908985,-6.50970699967219,3.93497723351551e-08,2.03522183143302e-07,8.5698569244553
"P61204",2.37280721434517,0.540338427439164,6.50383549007592,4.0179624389506e-08,2.06124739754295e-07,8.54976121460998
"Q86UX7",3.08157672809565,0.290262389270065,6.48713092635825,4.26374119448241e-08,2.16969410783742e-07,8.4925921717795
